country,year,sex,age,suicides_no,population
France,2001,male,5-14 years,24.0,3799737.0
France,2001,male,55-74 years,1755.0,5049336.0
France,2001,male,75+ years,1206.0,1585654.0
France,2002,female,15-24 years,120.0,3826195.0
France,2002,female,25-34 years,275.0,4087370.0
France,2002,female,35-54 years,1198.0,8616861.0
France,2002,female,5-14 years,14.0,3611606.0
France,2002,female,55-74 years,825.0,5793815.0
France,2002,female,75+ years,483.0,2925326.0
France,2002,male,15-24 years,469.0,3945027.0
France,2002,male,25-34 years,1069.0,4093371.0
France,2002,male,35-54 years,3161.0,8426925.0
France,2002,male,5-14 years,23.0,3788047.0
France,2002,male,55-74 years,1817.0,5181628.0
France,2002,male,75+ years,1189.0,1639346.0
France,2003,female,15-24 years,141.0,3855507.0
France,2003,female,25-34 years,281.0,4060810.0
France,2003,female,35-54 years,1163.0,8639264.0
France,2003,female,5-14 years,6.0,3604023.0
France,2003,female,55-74 years,785.0,5919087.0
France,2003,female,75+ years,457.0,2996734.0
France,2003,male,15-24 years,495.0,3973756.0
France,2003,male,25-34 years,1038.0,4076309.0
France,2003,male,35-54 years,3379.0,8430499.0
France,2003,male,5-14 years,26.0,3781291.0
France,2003,male,55-74 years,1816.0,5329819.0
France,2003,male,75+ years,1284.0,1693303.0
France,2004,female,15-24 years,135.0,3880131.0
France,2004,female,25-34 years,272.0,4035822.0
France,2004,female,35-54 years,1259.0,8660789.0
France,2004,female,5-14 years,5.0,3604504.0
France,2004,female,55-74 years,819.0,6047298.0
France,2004,female,75+ years,459.0,3076877.0
France,2004,male,15-24 years,486.0,3997101.0
France,2004,male,25-34 years,947.0,4061640.0
France,2004,male,35-54 years,3374.0,8436959.0
France,2004,male,5-14 years,15.0,3782655.0
France,2004,male,55-74 years,1800.0,5479461.0
France,2004,male,75+ years,1233.0,1750685.0
France,2005,female,15-24 years,128.0,3877610.0
France,2005,female,25-34 years,240.0,4015093.0
France,2005,female,35-54 years,1159.0,8661387.0
France,2005,female,5-14 years,8.0,3610005.0
France,2005,female,55-74 years,875.0,6158540.0
France,2005,female,75+ years,474.0,3160051.0
France,2005,male,15-24 years,439.0,3992606.0
France,2005,male,25-34 years,946.0,4047608.0
France,2005,male,35-54 years,3193.0,8428642.0
France,2005,male,5-14 years,21.0,3789200.0
France,2005,male,55-74 years,1905.0,5611154.0
France,2005,male,75+ years,1325.0,1808791.0
France,2006,female,15-24 years,124.0,3915675.0
France,2006,female,25-34 years,255.0,3997748.0
France,2006,female,35-54 years,1130.0,8713240.0
France,2006,female,5-14 years,8.0,3665776.0
France,2006,female,55-74 years,862.0,6363131.0
France,2006,female,75+ years,451.0,3282478.0
France,2006,male,15-24 years,398.0,4014107.0
France,2006,male,25-34 years,887.0,3953119.0
France,2006,male,35-54 years,3139.0,8448839.0
France,2006,male,5-14 years,22.0,3850817.0
France,2006,male,55-74 years,1875.0,5745824.0
France,2006,male,75+ years,1272.0,1873693.0
France,2007,female,15-24 years,114.0,3893480.0
France,2007,female,25-34 years,204.0,3971637.0
France,2007,female,35-54 years,1091.0,8736539.0
France,2007,female,5-14 years,6.0,3678122.0
France,2007,female,55-74 years,832.0,6461012.0
France,2007,female,75+ years,461.0,3367365.0
France,2007,male,15-24 years,397.0,3998872.0
France,2007,male,25-34 years,843.0,3926679.0
France,2007,male,35-54 years,3072.0,8475997.0
France,2007,male,5-14 years,16.0,3864992.0
France,2007,male,55-74 years,1776.0,5859657.0
France,2007,male,75+ years,1315.0,1932659.0
France,2008,female,15-24 years,108.0,3865331.0
France,2008,female,25-34 years,211.0,3934713.0
